"Path","Bytes","SHA256","Extension","Category","GearCandidate","HashError"
".gitignore","890","40F47B32E216928C8B50F03755B578043A95784E15F2034B12289D9CCBA600B0",".gitignore","source_or_other","True",
".markdownlint-cli2.jsonc","482","FD3174AA2A7945683B4C51B81D96FB403BB9364C85128292F305CEDB6C6AAB1A",".jsonc","configuration_or_data","True",
".pre-commit-config.yaml","314","ABF05FC95AB601C8EA00BF1837315C097672DB606CF6E3DC92F7E8928EF80E99",".yaml","configuration_or_data","True",
".specify/memory/constitution.md","13252","93218A57CCDB45D6A6F92F1C949B5131A6D8649EB8F7C005974D3397A2863302",".md","documentation","True",
".zenodo.json","853","AF2E800A43952851AACE57FF7CACFAFA99BB847020F95305ECBFA50C5892FB2E",".json","configuration_or_data","True",
"AGENTS.md","30810","E740541B2944BA60E081260154B2EB4F2275BDA0B95212CB9FA9EA6E948A9B1C",".md","agent_instruction","True",
"bundles/catalog.community.json","1129","B556387CFD62722BA054D9ECD696A7BACD6464F299106391B6ED65F5BFFC246F",".json","configuration_or_data","True",
"CHANGELOG.md","100827","F3E2D6C9D33C2BDD9236536454FF58CF0B95018D3BC4C5A81C614F299197A070",".md","documentation","True",
"CITATION.cff","959","3E5C9371857D9FCF241B401717C56FE96D98D724D00D32981D7B6C4427BA4111",".cff","source_or_other","True",
"CODE_OF_CONDUCT.md","3233","3B90B6C1B812CB0194BB2A98FF8C13D4353F4430937DCE45D3A25BEF069FE507",".md","documentation","True",
"CONTRIBUTING.md","15113","98187B9F054ADD66B0E49E7E52692ED12C06F79B6497269F1C7879ECF92E5CD3",".md","documentation","True",
"DEVELOPMENT.md","2492","C9F4458B35F38E052AB305B252EF54ACB7A7984B47CE42286192456EF2F62F9B",".md","documentation","True",
"docs/.gitignore","72","1BCAF861E7AD4BE27CAFEC340E1FAB63960519464D133E432C1D7E3798F6F4E5",".gitignore","source_or_other","True",
"docs/community/bundles.md","4209","0332543BAE3EF3F440763912FFE2413C209A0DE124F1D84507F798BC0E12A6B8",".md","documentation","True",
"docs/community/extensions.md","36221","B2715E051C817101219865CECF2A4DE34C598A10A2BC723AA6CBDA71F567C851",".md","documentation","True",
"docs/community/friends.md","3207","882C907698FA9CA1A864876A61DD14F2E513B4341069C2E762F6339B64A1A808",".md","documentation","True",
"docs/community/overview.md","1427","CD078EB0423430EB20645BB68C74B3C85F324E69870AE6E0DB22C5A1C7B7DB40",".md","documentation","True",
"docs/community/presets.md","11075","73B76824B9FE65E84E0F6FA2E9319186E7A61058A4DE89B9DB96AA2ACB6B7F25",".md","documentation","True",
"docs/community/walkthroughs.md","3489","BAE7FA63E8251EBCCFCB498D9FADE3A67561716621E4C171DBE0888A0580B9AE",".md","documentation","True",
"docs/concepts/complex-features.md","3363","FA0B7411E2E1DC8DD6FEAAD6CC18C75FD21913EB6390E843786BF760BBFCA89F",".md","documentation","True",
"docs/concepts/sdd.md","2764","269CD82AD469BA53D5F9CBDE4C9087DD92793003DF8C5C2F3320C25BCF19A7A8",".md","documentation","True",
"docs/concepts/spec-of-specs.md","8496","95B067A664D2D3C92C5F9E8D9668DDE7C8FB59834F7DBA8F51605997A854C5AF",".md","documentation","True",
"docs/concepts/spec-persistence.md","4638","8F532DEFB5AD6019E1E4D839DE8FDB9F70E84A0E6609CF8F7B5E22BCCE0F4CC2",".md","documentation","True",
"docs/docfx.json","1620","52152A3ABCE4695AC4267E336100411679C974F7CB24BDBC954FB58AC885F9DF",".json","configuration_or_data","True",
"docs/guides/evolving-specs.md","4381","9799F6E02F19EA7EAC53D2482EC2E25BCAF19C718951D83D16D48306938850FC",".md","documentation","True",
"docs/guides/monorepo.md","4993","EB3F39C296B839B8F7DF1335D737E801798A4D431FFC0A628538CD2600EB8D94",".md","documentation","True",
"docs/index.md","5894","3B1344A0127F396850BCEBB5326B5230FE712D2110EEC409EE4AB857D4F0C183",".md","documentation","True",
