"Path","Bytes","SHA256","Extension","Category","GearCandidate","HashError"
"docs/cs/explanation/party-mode.md","2761","88329AAFD51F9FD7AED46DBE32BBE8346FBF63990E94FF3F057767B7598CFF8F",".md","documentation","True",
"docs/cs/explanation/preventing-agent-conflicts.md","3897","5154E0EB6967A6333957D42C662DBF4308BBE36597068775C14762495E2F90AA",".md","documentation","True",
"docs/cs/explanation/project-context.md","7174","840A48DAB584AAA893DEC4ECB8A9FF7A7D4BAC2A252AE4868CE632319DB5D21C",".md","documentation","True",
"docs/cs/explanation/why-solutioning-matters.md","3426","2F27674F009ECEE7D1B62B72EF12383F7BE23CAFA80E1C82444CC04FCDFD0436",".md","documentation","True",
"docs/cs/how-to/customize-bmad.md","6067","6A38F4AA4C6B41356AAFFC272E8A04A5287CC8BF2CCDBC6E5C34E9F370DC8A07",".md","documentation","True",
"docs/cs/how-to/established-projects.md","4939","078E3A58BF5FC4656D379F15DBEAD828FBEBD0143AE05517656741164643FAE7",".md","documentation","True",
"docs/cs/how-to/get-answers-about-bmad.md","4500","0B5DA8AF7A8D4BFCCF6D764A37CEB3E9CEC54C21F8EC021AC14B11B582862ED7",".md","documentation","True",
"docs/cs/how-to/install-bmad.md","3699","110469FF47679B8B1E3101B2554FD615FACCC08D0399DF228A044523A68A6C24",".md","documentation","True",
"docs/cs/how-to/project-context.md","4591","241913B5ED55063F3D1D62699CBAF0F11AF57AC2430DBC70234FB80F4AEF2A9E",".md","documentation","True",
"docs/cs/how-to/quick-fixes.md","4037","C93E502A056B9204CBF6116B2CA33BF54BE30B2269A85A64F73D39243211A5A2",".md","documentation","True",
"docs/cs/how-to/upgrade-to-v6.md","3919","788C0FC9C03FF845F4902FE19570A24DC95CA116BCC2166385808FB7308508B1",".md","documentation","True",
"docs/cs/index.md","4190","5B9E12AF5BD06B651874D7315FC4DDBAD8E19881A36F62146B2695C5D7A69C33",".md","documentation","True",
"docs/cs/reference/agents.md","2852","149BCA790FF0C31A7BD8E7D41153D0E5A39BDFF6EFC455B8BF610A01CB4A98C9",".md","agent_instruction","True",
"docs/cs/reference/commands.md","7085","24B15C8A5C3FB9F7F01F284AAC65940C096C09F9AE4806C86DD7C3E528381FA9",".md","documentation","True",
"docs/cs/reference/core-tools.md","13263","57DA3962381037DF119B27BB24D5C3F034AF2B0D1B6EE065B81BCEA138F2E2B0",".md","documentation","True",
"docs/cs/reference/modules.md","4096","54F353DE20D9A8519C07FE5663AD426EA313C70A0D4CC14FC0475A573BF566E8",".md","documentation","True",
"docs/cs/reference/testing.md","6239","8420912AAD4CF1B00C2717F08D8DE1B264E36AB648F8D0DF6B58CD794DA9E852",".md","documentation","True",
"docs/cs/reference/workflow-map.md","7180","84C9B91182DA3F099C93A1DAC17594F235BF0CB698E88BF0176DBFE11772672C",".md","documentation","True",
"docs/cs/roadmap.mdx","6535","C8D143954570571825737540BB0EDC5454AB1BBC2C72BA293183A19FB929B814",".mdx","documentation","True",
"docs/cs/tutorials/getting-started.md","14519","1ADE2B22094F463327D4747C0E8CEB9F821C7B13557DCC6139F3FB54415DEBA8",".md","documentation","True",
"docs/explanation/advanced-elicitation.md","2300","5F28B36DA9DB4CE15C07304E0FDE7D7AE6CC9352F088DC9A76E873606FF5040A",".md","documentation","True",
"docs/explanation/adversarial-review.md","2793","A3D6E3BEB9105D2CEF358BEB0E9E2B6BF29609F2B49CD2CBEFD4DCEFCB4CDF87",".md","documentation","True",
"docs/explanation/analysis-phase.md","6176","D98B71603B64E467FCA6125C2FAD251F19316B24D41680F433AE228C96A595AC",".md","documentation","True",
"docs/explanation/brainstorming.md","1259","449E1497EB47B46B0690732976BCC656722B09975B3DE9D040FFF0BC71CE5E29",".md","documentation","True",
"docs/explanation/build.md","6091","CC92F6DDE19AEDE4B344E13B4E9C06CF626F8974622BC7C48FC4088CE43338F2",".md","documentation","True",
"docs/explanation/checkpoint-preview.md","7644","3246EB0F23C0FC58F24E29F123B1206B3218736C7F9A37E0ED5C232CC159279F",".md","documentation","True",
"docs/explanation/deep-recon.md","9690","FA59A45F99B2EE5B574109A60714726DF02A114EC66396167ED4F559D1B6CC9F",".md","documentation","True",
"docs/explanation/established-projects-faq.md","2224","80BC107D15391D25DB76D2CCAFF6663D2C280E9DF646203A2E013732B506FF2D",".md","documentation","True",
"docs/explanation/forge-idea.md","5773","CB84AB4C956C648EBDFB22268B72AEAC2E1C6ABEAAF63A77E0A12E963148E64A",".md","documentation","True",
"docs/explanation/named-agents.md","8401","83E451454E7830FC77DBC465BC2645DA9F1BFEBE88E3D234D8D13913F27B4208",".md","documentation","True",
"docs/explanation/party-mode.md","13118","BD39A2B2A66607747D19C1C3A96458573D32AD3F1E9412238FF90C6862BD72AD",".md","documentation","True",
"docs/explanation/preventing-agent-conflicts.md","3544","556EADD60ED455C495A21B708C55C8FFB1E8713007CA3D4ED38796A44B788B96",".md","documentation","True",
"docs/explanation/project-context.md","6261","8BF936189EDD1496E635C98F0F9A11A8F7F6BF072C04B97B921F5F6AEF9D21FD",".md","documentation","True",
"docs/explanation/retrospective.md","4104","CF11605BE454B4EBEADB2730284994428CF4EF40BB9DF8CAD390645408630DCA",".md","documentation","True",
"docs/explanation/sprint-planning.md","6022","BA816E65B8552D6D0DB8DA8C29422F1AF60BD4436779700393B1E6B3B38DA292",".md","documentation","True",
"docs/explanation/web-bundles.md","5637","DE7039E157B3FFB7064E259190938222253AD50AE176916F90BAF88F2C783928",".md","documentation","True",
"docs/explanation/why-solutioning-matters.md","3130","6DADEB6BDA5FE95DC9AA1C5F79C8CB9B68AB8D93A576FD44FA971A65054F745E",".md","documentation","True",
"docs/fr/_STYLE_GUIDE.md","13877","5356CF81C574516FFCC7744C078B11AFB15AC13CE9C1CC68C17EE30AD760A21F",".md","documentation","True",
"docs/fr/404.md","163","23657840F5CFCA097F5BB31A66438397FBE92DBC74BDB8D94BE331D9CC38177F",".md","documentation","True",
